brand,desc,overall_rating,rating_count,original_price,discount_price,offer_percentage,image_url
Friskers,Printed Slim Fit Pure Cotton T-shirt,Nil,Nil,MRP ₹969,₹571,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26048802/2023/11/25/9c4108c2-cd69-4c00-b7c1-1d7939a7c1a51700884006387FriskersMenMustardYellowPrintedSlimFitT-shirt1.jpg"");"
Friskers,Printed Slim Fit Pure Cotton T-shirt,Nil,Nil,MRP ₹969,₹571,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26048800/2023/11/25/f599d40f-7238-4826-8666-c5ec37508c981700883956751FriskersMenMustardYellowPrintedSlimFitT-shirt1.jpg"");"
Friskers,Printed Slim Fit Pure Cotton T-shirt,Nil,Nil,MRP ₹969,₹571,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26048816/2023/11/25/1cd6ebb0-dd38-4668-adb8-d75feffcbaff1700883212113FriskersMenYellowPrintedSlimFitT-shirt1.jpg"");"
Friskers,Graphic Printed Slim Fit Cotton T-shirt,Nil,Nil,MRP ₹969,₹571,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26048790/2023/11/25/5bbafc4f-4605-4eb1-8a87-066b654d3dc21700858302479FriskersMenMustardYellowPrintedSlimFitT-shirt1.jpg"");"
Friskers,Typography Printed Slim Fit Cotton T-shirt,Nil,Nil,MRP ₹969,₹571,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26048794/2023/11/25/b86b4d77-7651-4120-889d-f38f3bac2c561700884121657FriskersMenOrangePrintedSlimFitT-shirt1.jpg"");"
Friskers,Typography Printed Slim Fit Cotton T-shirt,Nil,Nil,MRP ₹969,₹571,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26048804/2023/11/25/43ba6645-1393-40f7-842d-26321b27b7b01700883954529FriskersMenMustardYellowPrintedSlimFitT-shirt1.jpg"");"
Friskers,Printed Slim Fit Pure Cotton T-shirt,Nil,Nil,MRP ₹969,₹571,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26048822/2023/11/25/387a4362-7c81-4154-9d00-04fa9b2963ad1700858303195FriskersMenTurquoiseBluePrintedSlimFitT-shirt1.jpg"");"
Friskers,Typography Printed Round Neck Long Sleeves Pure Cotton Slim Fit T-shirt,Nil,Nil,MRP ₹969,₹571,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26048810/2023/11/25/051d1748-8050-4ded-9b37-c820f1de04d91700883085811FriskersMenTurquoiseBluePrintedSlimFitT-shirt1.jpg"");"
Friskers,Printed Slim Fit Pure Cotton T-shirt,Nil,Nil,MRP ₹969,₹571,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26048798/2023/11/25/0982a765-47ca-4f8d-a55c-24d80d3a226a1700884012940FriskersMenTurquoiseBlueTypographyPocketsSlimFitT-shirt1.jpg"");"
Friskers,Graphic Printed Slim Fit Cotton T-shirt,Nil,Nil,MRP ₹969,₹571,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26048806/2023/11/25/0f2ad3a1-0d7c-4df5-b4d9-45e39560a08a1700883940862FriskersMenOrangePrintedSlimFitT-shirt1.jpg"");"
Friskers,Printed Slim Fit Pure Cotton T-shirt,Nil,Nil,MRP ₹969,₹571,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26048820/2023/11/25/c51d8572-c3b2-4d4a-abd8-765c0aa66bb31700858016562FriskersMenMustardYellowPrintedSlimFitT-shirt1.jpg"");"
Friskers,Typography Printed Slim Fit Cotton T-shirt,Nil,Nil,MRP ₹969,₹571,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26048826/2023/11/25/68e0f116-b254-4e1a-b61b-2f11fc97833c1700858304610FriskersMenBlackPrintedSlimFitT-shirt1.jpg"");"
Friskers,Printed Slim Fit Pure Cotton T-shirt,Nil,Nil,MRP ₹969,₹571,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26048808/2023/11/25/b9d7036c-e4b2-4d10-9b85-d9cfefddb7db1700883932051FriskersMenNavyBluePrintedSlimFitT-shirt1.jpg"");"
Friskers,Round Neck Cotton T-shirt,"4.4
|
48 Ratings",48 Ratings,MRP ₹989,₹474,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22429558/2023/10/26/d9044893-8812-452c-9cc0-862842106cd21698300989429-Friskers-Round-Neck-Cotton-T-shirt-1261698300989021-1.jpg"");"
Friskers,Men Olive Green Solid V-Neck Pure Cotton T-shirt,"4.1
|
132 Ratings",132 Ratings,MRP ₹949,₹559,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13953798/2023/10/26/3152d357-e6fa-45f5-bd6a-a275012ecf5a1698299374599-Friskers-Men-Olive-Green-Solid-V-Neck-Pure-Cotton-T-shirt-56-1.jpg"");"
Friskers,Graphic Printed Round Neck Slim Fit Cotton T-shirt,Nil,Nil,MRP ₹969,₹571,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25917212/2023/11/17/9ba95afd-19f8-4ea4-ad99-e0f9e915e96a1700214089743FriskersMenMustardYellowPrintedSlimFitT-shirt1.jpg"");"
Friskers,Men Black Solid Hooded T-shirt,"4.2
|
205 Ratings",205 Ratings,MRP ₹999,₹589,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11777892/2023/11/24/d60f129f-c00f-4575-80f3-bcc6a29c5cbf1700821441476-Friskers-Men-Black-Solid-Hooded-T-shirt-9391700821441260-1.jpg"");"
Friskers,Men Black Colourblocked Hood T-shirt,"4.6
|
25 Ratings",25 Ratings,MRP ₹999,₹619,(38% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/11/23/219ee04b-71c0-4f99-acee-b64e77213d691606111657613-1.jpg"");"
Friskers,Men White Raw Edge T-shirt,Nil,Nil,MRP ₹1049,₹503,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18795554/2023/10/26/12368e22-f3a7-41ef-8be4-7bd9d79e7a261698300545190-Friskers-Men-White-Raw-Edge-T-shirt-9921698300544822-1.jpg"");"
Friskers,V-Neck Casual T-shirt,Nil,Nil,MRP ₹1099,₹516,(53% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25879682/2023/11/14/e7be570c-de3c-4e49-8f34-4300dede5dbc1699956492604FriskersMenPurpleV-NeckPocketsT-shirt1.jpg"");"
Friskers,Men Navy Blue & Grey Typography Printed T-shirt,"4
|
30 Ratings",30 Ratings,MRP ₹1499,₹719,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16046802/2021/11/10/25417ef8-176d-4326-9d03-fa2a441417bb1636526810726FriskersMenNavyBlueTypographyPocketsT-shirt1.jpg"");"
Friskers,Hoody Neck Pure Cotton Casual T-shirt,"4.3
|
12 Ratings",12 Ratings,MRP ₹1499,₹644,(57% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22429568/2023/3/20/270537fc-cd3f-41e2-b52c-aac7181de6841679279352721FriskersMenWhiteHenleyNeckRawEdgeT-shirt1.jpg"");"
Friskers,Pack Of 2 V Neck Cotton T-shirt,Nil,Nil,MRP ₹1899,₹778,(59% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22739076/2023/4/12/10896e0a-3f49-42c5-8e23-710b4d7be03b1681266041870MenBlackNavyBlueV-NeckHalfSleeveCottonSolidT-shirt1.jpg"");"
Friskers,Pack Of 2 Typography Printed Sleeveless Pure Cotton Slim Fit T-shirt,Nil,Nil,MRP ₹1599,₹783,(51% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22750606/2023/4/13/0d7e0885-84e4-4084-9581-cb8b774433d41681365662748FriskersMenNavyBlueTypography2PrintedAppliqueSlimFitT-shirt1.jpg"");"
Friskers,Men Coffee Brown Pure Cotton T-shirt,"3.8
|
4 Ratings",4 Ratings,MRP ₹1399,₹685,(51% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20784752/2022/11/16/72a2ea20-b35d-4b4a-9714-3ec4403e29911668620411911MenBrownFullSleeveCottonLycraHoodedTshirt1.jpg"");"
Friskers,Men Pack of 2 Printed Pure Cotton T-shirts,"4.6
|
5 Ratings",5 Ratings,MRP ₹1398,₹796,(43% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15419414/2021/9/9/e4404ae2-fdf8-4cf0-b1c2-d06811d1e4261631186838612MenYellowTurquoiseSmilyBatmenRoundNeckCottonDropCutPrintedSl1.jpg"");"
Friskers,Men Mustard Yellow Solid Round Neck Pure Cotton T-shirt,"4.1
|
768 Ratings",768 Ratings,MRP ₹969,₹581,(40% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8907305/2023/10/26/709dffea-10a1-4c9d-b1f9-58c8d5357b001698298571132-Friskers-Men-Mustard-Yellow-Solid-Round-Neck-Pure-Cotton-T-s-1.jpg"");"
Friskers,Graphic Printed Round Neck Slim Fit Cotton T-shirt,Nil,Nil,MRP ₹969,₹571,(41% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25917206/2023/11/17/f0cbc956-9707-4da8-a1a7-520ac3df9c2e1700214066976FriskersMenOrangePrintedSlimFitT-shirt1.jpg"");"
Friskers,Men Black Printed Hood T-shirt,"4.7
|
13 Ratings",13 Ratings,MRP ₹999,₹599,(40% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/11/23/4be11489-6d7a-451e-9952-747c0aa0acef1606123151926-1.jpg"");"
Friskers,Men Turquoise Blue Printed T-shirt,Nil,Nil,MRP ₹1049,₹524,(50% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18766622/2022/6/17/1a9dfd78-d2eb-4a1b-9a07-a480876e72c21655478306791MenTurquoiseOriginalHalfSleeveT-shirt1.jpg"");"
Friskers,Polo Collar Cotton T-Shirt,Nil,Nil,MRP ₹999,₹479,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25879694/2023/11/14/cbdf7f3e-a1d8-42d9-85fd-b6653dc126fa1699956516681FriskersMenGold-TonedPoloCollarAppliqueT-shirt1.jpg"");"
Friskers,Men Pack Of 2 Black Yellow Captain America Printed Pure Cotton T-shirt,Nil,Nil,MRP ₹1398,₹796,(43% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15419674/2021/9/9/c3fcb53b-cb42-4632-a9ce-1f05128561d21631191522550InnerwearVests1.jpg"");"
Friskers,Men Black Solid Hood T-shirt,"4.2
|
149 Ratings",149 Ratings,MRP ₹1199,₹695,(42% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11777938/2020/4/1/7b5bca2a-0120-4e7b-95be-a0fde141f7881585738413660FriskersMenBlackSolidHoodT-shirt1.jpg"");"
Friskers,Men Black V-Neck Pure Cotton T-shirt,"4.2
|
23 Ratings",23 Ratings,MRP ₹1249,₹587,(53% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20784766/2022/11/16/dc55291b-8317-4270-9b84-a199f6e47ceb1668620419520MenBlackFullSleeveCottonLycraV-NeckTshirt1.jpg"");"
Friskers,Pack Of 2 V-Neck Pure Cotton Slim Fit Short Sleeves T-shirts,Nil,Nil,MRP ₹1899,₹778,(59% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22739002/2023/4/12/0a9b92a4-a278-41fb-a49a-fcd7638e792e1681266129621MenWhiteGreyV-NeckHalfSleeveCottonSolidT-shirt1.jpg"");"
